2013-06-30 09:30:54^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A30%3A42&partner_id=top-sdk-php-20120816&sign=FE55FB2E7847A3A31DBDC8392E0A343D^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:31:07^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A30%3A55&partner_id=top-sdk-php-20120816&sign=2B763DD6BEEA7E30469C40834F073555^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:31:20^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A31%3A08&partner_id=top-sdk-php-20120816&sign=62EF5EF4239652C64D5301D02582DFEC^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:31:34^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A31%3A22&partner_id=top-sdk-php-20120816&sign=B83EE6B58CD3D5D8D4669E8ABB68464C^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:31:47^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A31%3A35&partner_id=top-sdk-php-20120816&sign=F54807E63E5E2F2428A05E602C072047^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:32:00^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A31%3A48&partner_id=top-sdk-php-20120816&sign=7D7D571C942072B913492CAF84A48F6F^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:32:14^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A32%3A02&partner_id=top-sdk-php-20120816&sign=E3780B1353F2CDA024D77A90256D5F2E^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:32:27^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A32%3A15&partner_id=top-sdk-php-20120816&sign=BF9D6ED87C4152EF286C49B0D87CD89E^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:32:40^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A32%3A28&partner_id=top-sdk-php-20120816&sign=82146A961B2F3DF9573D3B6463F6CB54^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:32:54^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A32%3A42&partner_id=top-sdk-php-20120816&sign=3451802729A536038A5EAC697776DAE4^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
2013-06-30 09:33:07^_^taobao.taobaoke.report.get^_^^_^127.0.0.1^_^WINNT^_^top-sdk-php-20120816^_^http://gw.api.taobao.com/router/rest?app_key=&v=2.0&format=xml&sign_method=md5&method=taobao.taobaoke.report.get&timestamp=2013-06-30+09%3A32%3A55&partner_id=top-sdk-php-20120816&sign=F7BE4578CF9BC1B8BEA2F06E7B83ABD1^_^HTTP_ERROR_0^_^Could not resolve host: gw.api.taobao.com; Host not found
